FECHA (YYMMDD);HORA (HHMM);Precipitacion (mm);
241216;0400;0;
241216;0500;0;
241216;0600;0;
241216;0700;0;
241216;0800;0;
241216;0900;0;
241216;1000;0;
241216;1100;0;
241216;1200;0;
241216;1300;0;
241216;1400;0;
241216;1500;0;
241216;1600;0;
241216;1700;0;
241216;1800;0;
241216;1900;0;
241216;2000;0;
241216;2100;0;
241216;2200;0;
241216;2300;0;
241217;0000;0;
241217;0100;0;
241217;0200;0;
241217;0300;0;
241217;0400;0;
241217;0500;0;
241217;0600;0;
241217;0700;0;
241217;0800;0;
241217;0900;0;
241217;1000;0;
241217;1100;0;
241217;1200;0;
241217;1300;0;
241217;1400;0;
241217;1500;0;
241217;1600;0;
241217;1700;0;
241217;1800;0;
241217;1900;0;
241217;2000;0;
241217;2100;0;
241217;2200;0;
241217;2300;0;
241218;0000;0;
241218;0100;0;
241218;0200;0;
241218;0300;0;
241218;0400;0;
241218;0500;0;
241218;0600;0;
241218;0700;0;
241218;0800;0;
241218;0900;0;
241218;1000;0;
241218;1100;0;
241218;1200;0;
241218;1300;0;
241218;1400;0;
241218;1500;0;
241218;1600;0;
241218;1700;0;
241218;1800;0;
241218;1900;0;
241218;2000;0;
241218;2100;0;
241218;2200;0;
241218;2300;0;
241219;0000;0;
241219;0100;0;
241219;0200;0;
241219;0300;0;
241219;0400;0;
241219;0500;0;
241219;0600;0;
241219;0700;0;
241219;0800;0;
241219;0900;0;
241219;1000;0;
241219;1100;0;
241219;1200;0;
241219;1300;0;
241219;1400;0;
241219;1500;0;
241219;1600;0;
241219;1700;0;
241219;1800;0;
241219;1900;0;
241219;2000;0;
241219;2100;0;
241219;2200;0;
241219;2300;0;
241220;0000;0;
241220;0100;0;
241220;0200;0;
241220;0300;0;
241220;0400;0;
241220;0500;0;
241220;0600;0;
241220;0700;0;
241220;0800;0;
241220;0900;0;
241220;1000;0;
241220;1100;0;
241220;1200;0;
241220;1300;0;
241220;1400;0;
241220;1500;0;
241220;1600;0;
241220;1700;0;
241220;1800;0;
241220;1900;0;
241220;2000;0;
241220;2100;0;
241220;2200;0;
241220;2300;0;
241221;0000;0;
241221;0100;0;
241221;0200;0;
241221;0300;0;
241221;0400;0;
241221;0500;0;
241221;0600;0;
241221;0700;0;
241221;0800;0;
241221;0900;0;
241221;1000;0;
241221;1100;0;
241221;1200;0;
241221;1300;0;
241221;1400;0;
241221;1500;0;
241221;1600;0;
241221;1700;0;
241221;1800;0;
241221;1900;0;
241221;2000;0;
241221;2100;0;
241221;2200;0;
241221;2300;0;
241222;0000;0;
241222;0100;0;
241222;0200;0;
241222;0300;0;
241222;0400;0;
241222;0500;0;
241222;0600;0;
241222;0700;0;
241222;0800;0;
241222;0900;0;
241222;1000;0;
241222;1100;0;
241222;1200;0;
241222;1300;0;
241222;1400;0;
241222;1500;0;
241222;1600;0;
241222;1700;0;
241222;1800;0;
241222;1900;0;
241222;2000;0;
241222;2100;0;
241222;2200;0;
241222;2300;0;
241223;0000;0;
241223;0100;0;
241223;0200;0;
241223;0300;0;
241223;0400;0;
241223;0500;0;
241223;0600;0;
241223;0700;0;
241223;0800;0;
241223;0900;0;
241223;1000;0;
241223;1100;0;
241223;1200;0;
241223;1300;0;
241223;1400;0;
241223;1500;0;
241223;1600;0;
241223;1700;0;
241223;1800;0;
241223;1900;0;
241223;2000;0;
241223;2100;0;
241223;2200;0;
241223;2300;0;
241224;0000;0;
241224;0100;0;
241224;0200;0;
241224;0300;0;
241224;0400;0;
241224;0500;0;
241224;0600;0;
241224;0700;0;
241224;0800;0;
241224;0900;0;
241224;1000;0;
241224;1100;0;
241224;1200;0;
241224;1300;0;
241224;1400;0;
241224;1500;0;
241224;1600;0;
241224;1700;0;
241224;1800;0;
241224;1900;0;
241224;2000;0;
241224;2100;0;
241224;2200;0;
241224;2300;0;
241225;0000;0;
241225;0100;0;
241225;0200;0;
241225;0300;0;
241225;0400;0;
241225;0500;0;
241225;0600;0;
241225;0700;0;
241225;0800;0;
241225;0900;0;
241225;1000;0;
241225;1100;0;
241225;1200;0;
241225;1300;0;
241225;1400;0;
241225;1500;0;
241225;1600;0;
241225;1700;0;
241225;1800;0;
241225;1900;0;
241225;2000;0;
241225;2100;0;
241225;2200;0;
241225;2300;0;
241226;0000;0;
241226;0100;0;
241226;0200;0;
241226;0300;0;
241226;0400;0;
241226;0500;0;
241226;0600;0;
241226;0700;0;
241226;0800;0;
241226;0900;0;
241226;1000;0;
241226;1100;0;
241226;1200;0;
241226;1300;0;
241226;1400;0;
241226;1500;0;
241226;1600;0;
241226;1700;0;
241226;1800;0;
241226;1900;0;
241226;2000;0;
241226;2100;0;
241226;2200;0;
241226;2300;0;
241227;0000;0;
241227;0100;0;
241227;0200;0;
241227;0300;0;
241227;0400;0;
241227;0500;0;
241227;0600;0;
241227;0700;0;
241227;0800;0;
241227;0900;0;
241227;1000;0;
241227;1100;0;
241227;1200;0;
241227;1300;0;
241227;1400;0;
241227;1500;0;
241227;1600;0;
241227;1700;0;
241227;1800;0;
241227;1900;0;
241227;2000;0;
241227;2100;0;
241227;2200;0;
241227;2300;0;
241228;0000;0;
241228;0100;0;
241228;0200;0;
241228;0300;0;
241228;0400;0;
241228;0500;0;
241228;0600;0;
241228;0700;0;
241228;0800;0;
241228;0900;0;
241228;1000;0;
241228;1100;0;
241228;1200;0;
241228;1300;0;
241228;1400;0;
241228;1500;0;
241228;1600;0;
241228;1700;0;
241228;1800;0;
241228;1900;0;
241228;2000;0;
241228;2100;0;
241228;2200;0;
241228;2300;0;
241229;0000;0;
241229;0100;0;
241229;0200;0;
241229;0300;0;
241229;0400;0;
241229;0500;0;
241229;0600;0;
241229;0700;0;
241229;0800;0;
241229;0900;0;
241229;1000;0;
241229;1100;0;
241229;1200;0;
241229;1300;0;
241229;1400;0;
241229;1500;0;
241229;1600;0;
241229;1700;0;
241229;1800;0;
241229;1900;0;
241229;2000;0;
241229;2100;0;
241229;2200;0;
241229;2300;0;
241230;0000;0;
241230;0100;0;
241230;0200;0;
241230;0300;0;
241230;0400;0;
241230;0500;0;
241230;0600;0;
241230;0700;0;
241230;0800;0;
241230;0900;0;
241230;1000;0;
241230;1100;0;
241230;1200;0;
241230;1300;0;
241230;1400;0;
241230;1500;0;
241230;1600;0;
241230;1700;0;
241230;1800;0;
241230;1900;0;
241230;2000;0;
241230;2100;0;
241230;2200;0;
241230;2300;0;
241231;0000;0;
241231;0100;0;
241231;0200;0;
241231;0300;0;
241231;0400;0;
241231;0500;0;
241231;0600;0;
241231;0700;0;
241231;0800;0;
241231;0900;0;
241231;1000;0;
241231;1100;0;
241231;1200;0;
241231;1300;0;
241231;1400;0;
241231;1500;0;
241231;1600;0;
241231;1700;0;
241231;1800;0;
241231;1900;0;
241231;2000;0;
241231;2100;0;
241231;2200;0;
241231;2300;0;
250101;0000;0;
250101;0100;0;
250101;0200;0;
250101;0300;0;
250101;0400;0;
250101;0500;0;
250101;0600;0;
250101;0700;0;
250101;0800;0;
250101;0900;0;
250101;1000;0;
250101;1100;0;
250101;1200;0;
250101;1300;0;
250101;1400;0;
250101;1500;0;
250101;1600;0;
250101;1700;0;
250101;1800;0;
250101;1900;0;
250101;2000;0;
250101;2100;0;
250101;2200;0;
250101;2300;0;
250102;0000;0;
250102;0100;0;
250102;0200;0;
250102;0300;0;
250102;0400;0;
250102;0500;0;
250102;0600;0;
250102;0700;0;
250102;0800;0;
250102;0900;0;
250102;1000;0;
250102;1100;0;
250102;1200;0;
250102;1300;0;
250102;1400;0;
250102;1500;0;
250102;1600;0;
250102;1700;0;
250102;1800;0;
250102;1900;0;
250102;2000;0;
250102;2100;0;
250102;2200;0;
250102;2300;0;
250103;0000;0;
250103;0100;0;
250103;0200;0;
250103;0300;0;
250103;0400;0;
250103;0500;0;
250103;0600;0;
250103;0700;0;
250103;0800;0;
250103;0900;0;
250103;1000;0;
250103;1100;0;
250103;1200;0;
250103;1300;0;
250103;1400;0;
250103;1500;0;
250103;1600;0;
250103;1700;0;
250103;1800;0;
250103;1900;0;
250103;2000;0;
250103;2100;0;
250103;2200;0;
250103;2300;0;
250104;0000;0;
250104;0100;0;
250104;0200;0;
250104;0300;0;
250104;0400;0;
250104;0500;0;
250104;0600;0;
250104;0700;0;
250104;0800;0;
250104;0900;0;
250104;1000;0;
250104;1100;0;
250104;1200;0;
250104;1300;0;
250104;1400;0;
250104;1500;0;
250104;1600;0;
250104;1700;0;
250104;1800;0;
250104;1900;0;
250104;2000;0;
250104;2100;0;
250104;2200;0;
250104;2300;0;
250105;0000;0;
250105;0100;0;
250105;0200;0;
250105;0300;0;
250105;0400;0;
250105;0500;0;
250105;0600;0;
250105;0700;0;
250105;0800;0;
250105;0900;0;
250105;1000;0;
250105;1100;0;
250105;1200;0;
250105;1300;0;
250105;1400;0;
250105;1500;0;
250105;1600;0;
250105;1700;0;
250105;1800;0;
250105;1900;0;
250105;2000;0;
250105;2100;0;
250105;2200;0;
250105;2300;0;
250106;0000;0;
250106;0100;0;
250106;0200;0;
250106;0300;0;
250106;0400;0;
250106;0500;0;
250106;0600;0;
250106;0700;0;
250106;0800;0;
250106;0900;0;
250106;1000;0;
250106;1100;0;
250106;1200;0;
250106;1300;0;
250106;1400;0;
250106;1500;0;
250106;1600;0;
250106;1700;0;
250106;1800;0;
250106;1900;0;
250106;2000;0;
250106;2100;0;
250106;2200;0;
250106;2300;0;
250107;0000;0;
250107;0100;0;
250107;0200;0;
250107;0300;0;
250107;0400;0;
250107;0500;0;
250107;0600;0;
250107;0700;0;
250107;0800;0;
250107;0900;0;
250107;1000;0;
250107;1100;0;
250107;1200;0;
250107;1300;0;
250107;1400;0;
250107;1500;0;
250107;1600;0;
250107;1700;0;
250107;1800;0;
250107;1900;0;
250107;2000;0;
250107;2100;0;
250107;2200;0;
250107;2300;0;
250108;0000;0;
250108;0100;0;
250108;0200;0;
250108;0300;0;
250108;0400;0;
250108;0500;0;
250108;0600;0;
250108;0700;0;
250108;0800;0;
250108;0900;0;
250108;1000;0;
250108;1100;0;
250108;1200;0;
250108;1300;0;
250108;1400;0;
250108;1500;0;
250108;1600;0;
250108;1700;0;
250108;1800;0;
250108;1900;0;
250108;2000;0;
250108;2100;0;
250108;2200;0;
250108;2300;0;
250109;0000;0;
250109;0100;0;
250109;0200;0;
250109;0300;0;
250109;0400;0;
250109;0500;0;
250109;0600;0;
250109;0700;0;
250109;0800;0;
250109;0900;0;
250109;1000;0;
250109;1100;0;
250109;1200;0;
250109;1300;0;
250109;1400;0;
250109;1500;0;
250109;1600;0;
250109;1700;0;
250109;1800;0;
250109;1900;0;
250109;2000;0;
250109;2100;0;
250109;2200;0;
250109;2300;0;
250110;0000;0;
250110;0100;0;
250110;0200;0;
250110;0300;0;
250110;0400;0;
250110;0500;0;
250110;0600;0;
250110;0700;0;
250110;0800;0;
250110;0900;0;
250110;1000;0;
250110;1100;0;
250110;1200;0;
250110;1300;0;
250110;1400;0;
250110;1500;0;
250110;1600;0;
250110;1700;0;
250110;1800;0;
250110;1900;0;
250110;2000;0;
250110;2100;0;
250110;2200;0;
250110;2300;0;
250111;0000;0;
250111;0100;0;
250111;0200;0;
250111;0300;0;
250111;0400;0;
250111;0500;0;
250111;0600;0;
250111;0700;0;
250111;0800;0;
250111;0900;0;
250111;1000;0;
250111;1100;0;
250111;1200;0;
250111;1300;0;
250111;1400;0;
250111;1500;0;
250111;1600;0;
250111;1700;0;
250111;1800;0;
250111;1900;0;
250111;2000;0;
250111;2100;0;
250111;2200;0;
250111;2300;0;
250112;0000;0;
250112;0100;0;
250112;0200;0;
250112;0300;0;
250112;0400;0;
250112;0500;0;
250112;0600;0;
250112;0700;0;
250112;0800;0;
250112;0900;0;
250112;1000;0;
250112;1100;0;
250112;1200;0;
250112;1300;0;
250112;1400;0;
250112;1500;0;
250112;1600;0;
250112;1700;0;
250112;1800;0;
250112;1900;0;
250112;2000;0;
250112;2100;0;
250112;2200;0;
250112;2300;0;
250113;0000;0;
250113;0100;0;
250113;0200;0;
250113;0300;0;
250113;0400;0;
250113;0500;0;
250113;0600;0;
250113;0700;0;
250113;0800;0;
250113;0900;0;
250113;1000;0;
250113;1100;0;
250113;1200;0;
250113;1300;0;
250113;1400;0;
250113;1500;0;
250113;1600;0;
250113;1700;0;
250113;1800;0;
250113;1900;0;
250113;2000;0;
250113;2100;0;
250113;2200;0;
250113;2300;0;
250114;0000;0;
250114;0100;0;
250114;0200;0;
250114;0300;0;
250114;0400;0;
250114;0500;0;
250114;0600;0;
250114;0700;0;
250114;0800;0;
250114;0900;0;
250114;1000;0;
250114;1100;0;
250114;1200;0;
250114;1300;0;
250114;1400;0;
250114;1500;0;
250114;1600;0;
250114;1700;0;
250114;1800;0;
250114;1900;0;
250114;2000;0;
250114;2100;0,25;
250114;2200;0;
250114;2300;0;
250115;0000;0;
250115;0100;0;
250115;0200;0;
250115;0300;0;
250115;0400;0;
250115;0500;0;
250115;0600;0;
250115;0700;0;
250115;0800;0;
250115;0900;0,25;
250115;1000;0,25;
250115;1100;1;
250115;1200;0,25;
250115;1300;0,25;
250115;1400;0;
250115;1500;0,25;
250115;1600;0;
250115;1700;0,5;
250115;1800;0,25;
250115;1900;0;
250115;2000;0,25;
250115;2100;0;
250115;2200;0;
250115;2300;0,25;
250116;0000;0;
250116;0100;0;
250116;0200;0;
250116;0300;0;
250116;0400;0;
250116;0500;0;
250116;0600;0;
250116;0700;0;
250116;0800;0;
250116;0900;0;
250116;1000;0;
250116;1100;0;
250116;1200;0;
250116;1300;0;
250116;1400;0;
250116;1500;0;
250116;1600;0;
250116;1700;0;
250116;1800;0;
250116;1900;0;
250116;2000;0;
250116;2100;0;
250116;2200;0;
250116;2300;0;
250117;0000;0;
250117;0100;0;
250117;0200;0;
250117;0300;0;
250117;0400;0;
250117;0500;0;
250117;0600;0;
250117;0700;0;
250117;0800;0;
250117;0900;0;
250117;1000;0;
250117;1100;0;
250117;1200;0;
250117;1300;0;
250117;1400;0;
250117;1500;0;
250117;1600;0;
250117;1700;0;
250117;1800;0;
250117;1900;0;
250117;2000;0;
250117;2100;0;
250117;2200;0;
250117;2300;0;
250118;0000;0;
250118;0100;0;
250118;0200;0;
250118;0300;0;
250118;0400;0;
250118;0500;0;
250118;0600;0;
250118;0700;0;
250118;0800;0;
250118;0900;0;
250118;1000;0;
250118;1100;0;
250118;1200;0;
250118;1300;0;
250118;1400;0;
250118;1500;0;
250118;1600;0;
250118;1700;0;
250118;1800;0;
250118;1900;0;
250118;2000;0;
250118;2100;0;
250118;2200;0;
250118;2300;0;
250119;0000;0;
250119;0100;0;
250119;0200;0;
250119;0300;0;
250119;0400;0;
250119;0500;0;
250119;0600;0;
250119;0700;0;
250119;0800;0;
250119;0900;0;
250119;1000;0;
250119;1100;0;
250119;1200;0;
250119;1300;0;
250119;1400;0;
250119;1500;0;
250119;1600;0;
250119;1700;0;
250119;1800;0;
250119;1900;0;
250119;2000;0;
250119;2100;0;
250119;2200;0;
250119;2300;0;
250120;0000;0;
250120;0100;0;
250120;0200;0;
250120;0300;0;
250120;0400;0;
250120;0500;0;
250120;0600;0;
250120;0700;0;
250120;0800;0;
250120;0900;0;
250120;1000;0;
250120;1100;0;
250120;1200;0;
250120;1300;0;
250120;1400;0;
250120;1500;0;
250120;1600;0;
250120;1700;0;
250120;1800;0;
250120;1900;0;
250120;2000;0;
250120;2100;0;
250120;2200;0;
250120;2300;0;
250121;0000;0;
250121;0100;0;
250121;0200;0;
250121;0300;0;
250121;0400;0;
250121;0500;0;
250121;0600;0;
250121;0700;0;
250121;0800;0;
250121;0900;0;
250121;1000;0;
250121;1100;0;
250121;1200;0;
250121;1300;0;
250121;1400;0;
250121;1500;0;
250121;1600;0;
250121;1700;0;
250121;1800;0;
250121;1900;0;
250121;2000;0;
250121;2100;0;
250121;2200;0;
250121;2300;0;
250122;0000;0;
250122;0100;0;
250122;0200;0;
250122;0300;0;
250122;0400;0;
250122;0500;0;
250122;0600;0;
250122;0700;0;
250122;0800;0;
250122;0900;0;
250122;1000;0;
250122;1100;0;
250122;1200;0;
250122;1300;0;
250122;1400;0;
250122;1500;0;
250122;1600;0;
250122;1700;0;
250122;1800;;
250122;1900;;
250122;2000;;
250122;2100;0;
250122;2200;0;
250122;2300;0;
250123;0000;0;
250123;0100;0;
250123;0200;0;
250123;0300;0;
250123;0400;0;
250123;0500;0;
250123;0600;0;
250123;0700;0;
250123;0800;0;
250123;0900;0;
250123;1000;0;
250123;1100;0;
250123;1200;0;
250123;1300;0;
250123;1400;0;
250123;1500;0;
250123;1600;0;
250123;1700;0;
250123;1800;0;
250123;1900;0;
250123;2000;0;
250123;2100;0;
250123;2200;0;
250123;2300;0;
250124;0000;0;
250124;0100;0;
250124;0200;0;
250124;0300;0;
250124;0400;0;
250124;0500;0;
250124;0600;0;
250124;0700;0;
250124;0800;0;
250124;0900;0;
250124;1000;0;
250124;1100;0;
250124;1200;0;
250124;1300;0;
250124;1400;0;
250124;1500;0;
250124;1600;0;
250124;1700;0;
250124;1800;0;
250124;1900;0;
250124;2000;0;
250124;2100;0;
250124;2200;0;
250124;2300;0;
250125;0000;0;
250125;0100;0;
250125;0200;0;
250125;0300;0;
250125;0400;0;
250125;0500;0;
250125;0600;0;
250125;0700;0;
250125;0800;0;
250125;0900;0;
250125;1000;0;
250125;1100;0;
250125;1200;0;
250125;1300;0;
250125;1400;0;
250125;1500;0;
250125;1600;0;
250125;1700;0;
250125;1800;0;
250125;1900;0;
250125;2000;0;
250125;2100;0;
250125;2200;0;
250125;2300;0;
250126;0000;0;
250126;0100;0;
250126;0200;0;
250126;0300;0;
250126;0400;0;
250126;0500;0;
250126;0600;0;
250126;0700;0;
250126;0800;0;
250126;0900;0;
250126;1000;0;
250126;1100;0;
250126;1200;0;
250126;1300;0;
250126;1400;0;
250126;1500;0;
250126;1600;0;
250126;1700;0;
250126;1800;0;
250126;1900;0;
250126;2000;0;
250126;2100;0;
250126;2200;0;
250126;2300;0;
250127;0000;0;
250127;0100;0;
250127;0200;0;
250127;0300;0;
250127;0400;0;
250127;0500;0;
250127;0600;0;
250127;0700;0;
250127;0800;0;
250127;0900;0;
250127;1000;0;
250127;1100;0;
250127;1200;0;
250127;1300;0;
250127;1400;0;
250127;1500;0;
250127;1600;0;
250127;1700;;
250127;1800;0;
250127;1900;0;
250127;2000;0;
250127;2100;0;
250127;2200;0;
250127;2300;0;
250128;0000;0;
250128;0100;0;
250128;0200;0;
250128;0300;0;
250128;0400;0;
250128;0500;0;
250128;0600;0;
250128;0700;0;
250128;0800;0;
250128;0900;0;
250128;1000;0;
250128;1100;0;
250128;1200;0;
250128;1300;0;
250128;1400;0;
250128;1500;0;
250128;1600;0;
250128;1700;0;
250128;1800;0;
250128;1900;0;
250128;2000;0;
250128;2100;0;
250128;2200;0;
250128;2300;0;
250129;0000;0;
250129;0100;0;
250129;0200;0;
250129;0300;0;
250129;0400;0;
250129;0500;0;
250129;0600;0;
250129;0700;0;
250129;0800;0;
250129;0900;0;
250129;1000;0;
250129;1100;0;
250129;1200;0;
250129;1300;0;
250129;1400;0;
250129;1500;0;
250129;1600;0;
250129;1700;0;
250129;1800;0;
250129;1900;0;
250129;2000;0;
250129;2100;0;
250129;2200;0;
250129;2300;0;
250130;0000;0;
250130;0100;0;
250130;0200;0;
250130;0300;0;
250130;0400;0;
250130;0500;0;
250130;0600;0;
250130;0700;0;
250130;0800;0;
250130;0900;0;
250130;1000;0;
250130;1100;0;
250130;1200;0;
250130;1300;0;
250130;1400;0;
250130;1500;0;
250130;1600;0;
250130;1700;0;
250130;1800;0;
250130;1900;0;
250130;2000;0;
250130;2100;0;
250130;2200;0;
250130;2300;0;
250131;0000;0;
250131;0100;0;
250131;0200;0;
250131;0300;0;
250131;0400;0;
250131;0500;0;
250131;0600;0;
250131;0700;0;
250131;0800;0;
250131;0900;0;
250131;1000;0;
250131;1100;0;
250131;1200;0;
250131;1300;0;
250131;1400;0;
250131;1500;0;
250131;1600;0;
250131;1700;0;
250131;1800;0;
250131;1900;0;
250131;2000;0;
250131;2100;0;
250131;2200;0;
250131;2300;0;
250201;0000;0;
250201;0100;0;
250201;0200;0;
250201;0300;0;
250201;0400;0;
250201;0500;0;
250201;0600;0;
250201;0700;0;
250201;0800;0;
250201;0900;0;
250201;1000;0;
250201;1100;0;
250201;1200;0;
250201;1300;0;
250201;1400;0;
250201;1500;0;
250201;1600;0;
250201;1700;0;
250201;1800;0;
250201;1900;0;
250201;2000;0;
250201;2100;0;
250201;2200;0;
250201;2300;0;
250202;0000;0;
250202;0100;0;
250202;0200;0;
250202;0300;0;
250202;0400;0;
250202;0500;0;
250202;0600;0;
250202;0700;0;
250202;0800;0;
250202;0900;0;
250202;1000;0;
250202;1100;0;
250202;1200;0;
250202;1300;0;
250202;1400;0;
250202;1500;0;
250202;1600;0;
250202;1700;0;
250202;1800;0;
250202;1900;0;
250202;2000;0;
250202;2100;0;
250202;2200;0;
250202;2300;0;
250203;0000;0;
250203;0100;0;
250203;0200;0;
250203;0300;0;
250203;0400;0;
250203;0500;0;
250203;0600;0;
250203;0700;0;
250203;0800;0;
250203;0900;0;
250203;1000;0;
250203;1100;0;
250203;1200;0;
250203;1300;0;
250203;1400;0;
250203;1500;0;
250203;1600;0;
250203;1700;0;
250203;1800;0;
250203;1900;0;
250203;2000;0;
250203;2100;0;
250203;2200;0;
250203;2300;0;
250204;0000;0;
250204;0100;0;
250204;0200;0;
250204;0300;0;
250204;0400;0;
250204;0500;0;
250204;0600;0;
250204;0700;0;
250204;0800;0;
250204;0900;0;
250204;1000;0;
250204;1100;0;
250204;1200;0;
250204;1300;0;
250204;1400;0;
250204;1500;0;
250204;1600;0;
250204;1700;0;
250204;1800;0;
250204;1900;0;
250204;2000;0;
250204;2100;0;
250204;2200;0;
250204;2300;0;
250205;0000;0;
250205;0100;0;
250205;0200;0;
250205;0300;0;
250205;0400;0;
250205;0500;0;
250205;0600;0;
250205;0700;0;
250205;0800;0;
250205;0900;0;
250205;1000;0;
250205;1100;0;
250205;1200;0;
250205;1300;0;
250205;1400;0;
250205;1500;0;
250205;1600;0;
250205;1700;0;
250205;1800;0;
250205;1900;0;
250205;2000;0;
250205;2100;0;
250205;2200;0;
250205;2300;0;
250206;0000;0;
250206;0100;0;
250206;0200;0;
250206;0300;0;
250206;0400;0;
250206;0500;0;
250206;0600;0;
250206;0700;0;
250206;0800;0;
250206;0900;0;
250206;1000;0;
250206;1100;0;
250206;1200;0;
250206;1300;0;
250206;1400;0;
250206;1500;0;
250206;1600;0;
250206;1700;0;
250206;1800;0;
250206;1900;0;
250206;2000;0;
250206;2100;0;
250206;2200;0;
250206;2300;0;
250207;0000;0;
250207;0100;0;
250207;0200;0;
250207;0300;0;
250207;0400;0;
250207;0500;0;
250207;0600;0;
250207;0700;0;
250207;0800;0;
250207;0900;0;
250207;1000;0;
250207;1100;0;
250207;1200;0;
250207;1300;0;
250207;1400;0;
250207;1500;0;
250207;1600;0;
250207;1700;0;
250207;1800;0;
250207;1900;0;
250207;2000;0;
250207;2100;0;
250207;2200;0;
250207;2300;0;
250208;0000;0;
250208;0100;0;
250208;0200;0;
250208;0300;0;
250208;0400;0;
250208;0500;0;
250208;0600;0;
250208;0700;0;
250208;0800;0;
250208;0900;0;
250208;1000;0;
250208;1100;0;
250208;1200;0;
250208;1300;0;
250208;1400;0;
250208;1500;0;
250208;1600;0;
250208;1700;0;
250208;1800;0;
250208;1900;0;
250208;2000;0;
250208;2100;0;
250208;2200;0;
250208;2300;0;
250209;0000;0;
250209;0100;0;
250209;0200;0;
250209;0300;0;
250209;0400;0;
250209;0500;0;
250209;0600;0;
250209;0700;0;
250209;0800;0;
250209;0900;0;
250209;1000;0;
250209;1100;0;
250209;1200;0;
250209;1300;0;
250209;1400;0;
250209;1500;0;
250209;1600;0;
250209;1700;0;
250209;1800;0;
250209;1900;0;
250209;2000;0;
250209;2100;0;
250209;2200;0;
250209;2300;0;
250210;0000;0;
250210;0100;0;
250210;0200;0;
250210;0300;0;
250210;0400;0;
250210;0500;0;
250210;0600;0;
250210;0700;0;
250210;0800;0;
250210;0900;0;
250210;1000;0;
250210;1100;0;
250210;1200;0;
250210;1300;0;
250210;1400;0;
250210;1500;0;
250210;1600;0;
250210;1700;0;
250210;1800;0;
250210;1900;0;
250210;2000;0;
250210;2100;0;
250210;2200;0;
250210;2300;0;
250211;0000;0;
250211;0100;0;
250211;0200;0;
250211;0300;0;
250211;0400;0;
250211;0500;0;
250211;0600;0;
250211;0700;0;
250211;0800;0;
250211;0900;0;
250211;1000;0;
250211;1100;0;
250211;1200;0;
250211;1300;0;
250211;1400;0;
250211;1500;0;
250211;1600;0;
250211;1700;0;
250211;1800;0;
250211;1900;0;
250211;2000;0;
250211;2100;0;
250211;2200;0;
250211;2300;0;
250212;0000;0;
250212;0100;0;
250212;0200;0;
250212;0300;0;
250212;0400;0;
250212;0500;0;
250212;0600;0;
250212;0700;0;
250212;0800;0;
250212;0900;0;
250212;1000;0;
250212;1100;0;
250212;1200;0;
250212;1300;0;
250212;1400;0;
250212;1500;0;
250212;1600;0;
250212;1700;0;
250212;1800;0;
250212;1900;0;
250212;2000;0;
250212;2100;0;
250212;2200;0;
250212;2300;0;
250213;0000;0;
250213;0100;0;
250213;0200;0;
250213;0300;0;
250213;0400;0;
250213;0500;0;
250213;0600;0;
250213;0700;0;
250213;0800;0;
250213;0900;0;
250213;1000;0;
