FECHA (YYMMDD);HORA (HHMM);Temperatura (°C);
241218;1900;19,2925;
241218;2000;17,2025;
241218;2100;16,58;
241218;2200;15,86;
241218;2300;15,435;
241219;0000;15,715;
241219;0100;14,3825;
241219;0200;13,08;
241219;0300;12,195;
241219;0400;11,5275;
241219;0500;11,0125;
241219;0600;12,6825;
241219;0700;15,05;
241219;0800;16,36;
241219;0900;19,615;
241219;1000;22,0875;
241219;1100;22,9225;
241219;1200;23,65;
241219;1300;23,88;
241219;1400;23,69;
241219;1500;22,91;
241219;1600;22,2175;
241219;1700;21,4525;
241219;1800;20,4325;
241219;1900;19,3075;
241219;2000;18,1225;
241219;2100;17,2075;
241219;2200;16,6425;
241219;2300;15,985;
241220;0000;15,755;
241220;0100;15,43;
241220;0200;15,2575;
241220;0300;15,1475;
241220;0400;14,9075;
241220;0500;14,3775;
241220;0600;16,0675;
241220;0700;17,9;
241220;0800;20,14;
241220;0900;21,31;
241220;1000;21,7175;
241220;1100;22,69;
241220;1200;21,67;
241220;1300;22,9875;
241220;1400;22,74;
241220;1500;21,5625;
241220;1600;20,3025;
241220;1700;19,25;
241220;1800;19,355;
241220;1900;18,8975;
241220;2000;17,8925;
241220;2100;17,13;
241220;2200;16,9375;
241220;2300;16,3525;
241221;0000;16,2175;
241221;0100;16,095;
241221;0200;15,4825;
241221;0300;14,7925;
241221;0400;14,0675;
241221;0500;13,675;
241221;0600;14,635;
241221;0700;16,9725;
241221;0800;19,8125;
241221;0900;21,7225;
241221;1000;23,8725;
241221;1100;25,9525;
241221;1200;27,015;
241221;1300;26,4675;
241221;1400;26,7125;
241221;1500;26,9825;
241221;1600;26,845;
241221;1700;26,0175;
241221;1800;24,99;
241221;1900;23,7825;
241221;2000;21,935;
241221;2100;20,635;
241221;2200;19,7975;
241221;2300;19,04;
241222;0000;18,6325;
241222;0100;17,7925;
241222;0200;17,32;
241222;0300;16,335;
241222;0400;15,1175;
241222;0500;14,2825;
241222;0600;15,39;
241222;0700;17,715;
241222;0800;20,475;
241222;0900;23,155;
241222;1000;26,13;
241222;1100;28,7775;
241222;1200;30,1875;
241222;1300;29,34;
241222;1400;29,9625;
241222;1500;29,24;
241222;1600;28,81;
241222;1700;26,8125;
241222;1800;25,7125;
241222;1900;23,0425;
241222;2000;20,7525;
241222;2100;19,515;
241222;2200;18,3675;
241222;2300;17,36;
241223;0000;16,5275;
241223;0100;16,0225;
241223;0200;15,1275;
241223;0300;14,3925;
241223;0400;13,945;
241223;0500;13,8125;
241223;0600;14,9325;
241223;0700;17,2675;
241223;0800;20,035;
241223;0900;23,08;
241223;1000;24,3425;
241223;1100;25,145;
241223;1200;25,6525;
241223;1300;26,535;
241223;1400;26,8175;
241223;1500;27,0125;
241223;1600;26,0075;
241223;1700;25,0975;
241223;1800;24,7625;
241223;1900;22,2325;
241223;2000;20,1675;
241223;2100;19,58;
241223;2200;20,695;
241223;2300;20,195;
241224;0000;19,4375;
241224;0100;18,3875;
241224;0200;17,635;
241224;0300;16,6375;
241224;0400;15,8675;
241224;0500;15,205;
241224;0600;16,1025;
241224;0700;17,735;
241224;0800;20,125;
241224;0900;23,005;
241224;1000;26,2625;
241224;1100;29,6525;
241224;1200;32,3825;
241224;1300;32,2325;
241224;1400;32,035;
241224;1500;32,8825;
241224;1600;32,925;
241224;1700;29,105;
241224;1800;27,625;
241224;1900;25,415;
241224;2000;22,3675;
241224;2100;20,2675;
241224;2200;18,805;
241224;2300;17,68;
241225;0000;16,465;
241225;0100;15,52;
241225;0200;14,655;
241225;0300;13,975;
241225;0400;13,5125;
241225;0500;13,255;
241225;0600;13,99;
241225;0700;14,9625;
241225;0800;16,52;
241225;0900;17,795;
241225;1000;18,0375;
241225;1100;18,49;
241225;1200;19,135;
241225;1300;19,98;
241225;1400;21,0975;
241225;1500;21,095;
241225;1600;19,41;
241225;1700;18,8925;
241225;1800;16,775;
241225;1900;14,285;
241225;2000;13,63;
241225;2100;13,645;
241225;2200;13,6875;
241225;2300;13,705;
241226;0000;13,3925;
241226;0100;13,115;
241226;0200;13,07;
241226;0300;12,9725;
241226;0400;13,1;
241226;0500;13,2425;
241226;0600;13,3125;
241226;0700;13,63;
241226;0800;14,235;
241226;0900;14,36;
241226;1000;14,6975;
241226;1100;15,27;
241226;1200;16,335;
241226;1300;18,0425;
241226;1400;18,425;
241226;1500;18,9725;
241226;1600;18,8625;
241226;1700;18,77;
241226;1800;18;
241226;1900;15,4775;
241226;2000;14,4675;
241226;2100;14,455;
241226;2200;14,3375;
241226;2300;14,415;
241227;0000;14,4925;
241227;0100;14,3375;
241227;0200;14,0175;
241227;0300;14,015;
241227;0400;14,11;
241227;0500;14,0425;
241227;0600;14,1925;
241227;0700;14,5075;
241227;0800;15,575;
241227;0900;16,4775;
241227;1000;17,3875;
241227;1100;18,22;
241227;1200;18,7375;
241227;1300;18,995;
241227;1400;19,715;
241227;1500;19,1175;
241227;1600;17,64;
241227;1700;16,33;
241227;1800;14,8825;
241227;1900;14,24;
241227;2000;14,175;
241227;2100;14,075;
241227;2200;14,1625;
241227;2300;14,09;
241228;0000;13,96;
241228;0100;13,84;
241228;0200;13,8725;
241228;0300;13,9025;
241228;0400;14,1075;
241228;0500;14,2;
241228;0600;14,315;
241228;0700;14,4275;
241228;0800;14,7325;
241228;0900;16,055;
241228;1000;16,795;
