FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
241221;2300;95,4073;
241222;0000;110,452;
241222;0100;128,426;
241222;0200;168,22;
241222;0300;151,192;
241222;0400;120,465;
241222;0500;138,517;
241222;0600;144,554;
241222;0700;158,989;
241222;0800;170,505;
241222;0900;186,493;
241222;1000;195,121;
241222;1100;196,632;
241222;1200;188,315;
241222;1300;195,674;
241222;1400;198,079;
241222;1500;230,088;
241222;1600;37,4732;
241222;1700;344,984;
241222;1800;186,707;
241222;1900;109,579;
241222;2000;133,699;
241222;2100;117,963;
241222;2200;93,9243;
241222;2300;105,53;
241223;0000;77,6206;
241223;0100;89,8839;
241223;0200;94,1884;
241223;0300;82,1572;
241223;0400;91,2175;
241223;0500;90,1056;
241223;0600;103,138;
241223;0700;145,602;
241223;0800;175,531;
241223;0900;153,674;
241223;1000;188,369;
241223;1100;217,558;
241223;1200;206,151;
241223;1300;206,039;
241223;1400;205,849;
241223;1500;205,801;
241223;1600;210,811;
241223;1700;209,857;
241223;1800;195,519;
241223;1900;160,011;
241223;2000;119,452;
241223;2100;148,52;
241223;2200;127,223;
241223;2300;121,143;
241224;0000;122,055;
241224;0100;120,327;
241224;0200;152,742;
241224;0300;151,697;
241224;0400;147,931;
241224;0500;155,576;
241224;0600;169,296;
241224;0700;164,408;
241224;0800;149,783;
241224;0900;141,757;
241224;1000;148,742;
241224;1100;148,162;
241224;1200;124,123;
241224;1300;189,644;
241224;1400;198,244;
241224;1500;194,71;
241224;1600;164,171;
241224;1700;132,709;
241224;1800;138,63;
241224;1900;140,352;
241224;2000;323,97;
241224;2100;323,195;
241224;2200;333,293;
241224;2300;329,795;
241225;0000;329,794;
241225;0100;319,751;
241225;0200;315,819;
241225;0300;316,383;
241225;0400;312,843;
241225;0500;325,578;
241225;0600;336,302;
241225;0700;321,512;
241225;0800;302,861;
241225;0900;312,016;
241225;1000;328,632;
241225;1100;333,13;
241225;1200;330,923;
241225;1300;334,706;
241225;1400;334,673;
241225;1500;332,792;
241225;1600;336,489;
241225;1700;336,762;
241225;1800;325,328;
241225;1900;321,203;
241225;2000;329,972;
241225;2100;325,689;
241225;2200;326,646;
241225;2300;332,532;
241226;0000;324,323;
241226;0100;321,443;
241226;0200;304,118;
241226;0300;334,383;
241226;0400;358,426;
241226;0500;8,54568;
241226;0600;0,968723;
241226;0700;353,275;
241226;0800;325,365;
241226;0900;286,313;
241226;1000;305,46;
241226;1100;313,446;
241226;1200;313,515;
241226;1300;316,228;
241226;1400;316,762;
241226;1500;324,164;
241226;1600;316,181;
241226;1700;320,15;
241226;1800;320,165;
241226;1900;321,37;
241226;2000;313,432;
241226;2100;289,273;
241226;2200;294,577;
241226;2300;333,938;
241227;0000;8,02728;
241227;0100;24,3479;
241227;0200;28,4579;
241227;0300;5,50275;
241227;0400;242,82;
241227;0500;351,599;
241227;0600;332,451;
241227;0700;341,167;
241227;0800;335,101;
241227;0900;319,933;
241227;1000;329,259;
241227;1100;331,225;
241227;1200;333,882;
241227;1300;325,368;
241227;1400;325,444;
241227;1500;304,467;
241227;1600;299,029;
241227;1700;305,284;
241227;1800;310,431;
241227;1900;314,319;
241227;2000;316,506;
241227;2100;334,172;
241227;2200;359,086;
241227;2300;350,906;
241228;0000;356,124;
241228;0100;4,82664;
241228;0200;356,735;
241228;0300;2,44182;
241228;0400;8,39062;
241228;0500;324,927;
241228;0600;332,579;
241228;0700;342,793;
241228;0800;340,226;
241228;0900;320,231;
241228;1000;337,742;
241228;1100;335,366;
241228;1200;333,581;
241228;1300;334,381;
241228;1400;328,37;
241228;1500;326,658;
241228;1600;332,275;
241228;1700;332,503;
241228;1800;332,366;
241228;1900;343,769;
241228;2000;339,08;
241228;2100;336,636;
241228;2200;339,893;
241228;2300;339,656;
241229;0000;353,851;
241229;0100;2,65424;
241229;0200;3,56904;
241229;0300;0,122005;
241229;0400;356,814;
241229;0500;3,90082;
241229;0600;349,91;
241229;0700;331,512;
241229;0800;298,518;
241229;0900;297,465;
241229;1000;308,123;
241229;1100;313,313;
241229;1200;319,551;
241229;1300;332,414;
241229;1400;334,498;
241229;1500;330,84;
241229;1600;339,096;
241229;1700;331,052;
241229;1800;280,453;
241229;1900;254,627;
241229;2000;36,2163;
241229;2100;107,5;
241229;2200;98,3707;
241229;2300;337,536;
241230;0000;329,114;
241230;0100;338,019;
241230;0200;324,752;
241230;0300;26,3258;
241230;0400;79,7577;
241230;0500;334,253;
241230;0600;253,959;
241230;0700;261,55;
241230;0800;301,474;
241230;0900;271,751;
241230;1000;303,851;
241230;1100;298,551;
241230;1200;210,297;
241230;1300;245,446;
241230;1400;244,604;
241230;1500;239,223;
241230;1600;243,223;
241230;1700;241,423;
241230;1800;246,318;
241230;1900;217,989;
241230;2000;173,609;
241230;2100;173,793;
241230;2200;207,057;
241230;2300;176,93;
241231;0000;176,56;
241231;0100;122,286;
241231;0200;104,503;
241231;0300;120,275;
241231;0400;137,398;
241231;0500;128,089;
241231;0600;111,899;
241231;0700;114,969;
241231;0800;109,464;
241231;0900;121,366;
241231;1000;133,317;
241231;1100;119,193;
241231;1200;141,124;
241231;1300;200,453;
