FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
250310;2300;123,196;
250311;0000;143,173;
250311;0100;135,699;
250311;0200;146,1;
250311;0300;161,907;
250311;0400;172,091;
250311;0500;134,104;
250311;0600;142,561;
250311;0700;152,045;
250311;0800;149,657;
250311;0900;159,58;
250311;1000;164,858;
250311;1100;168,507;
250311;1200;159,815;
250311;1300;150,229;
250311;1400;193,186;
250311;1500;190,182;
250311;1600;196,588;
250311;1700;184,846;
250311;1800;149,069;
250311;1900;25,3641;
250311;2000;9,74181;
250311;2100;340,512;
250311;2200;325,966;
250311;2300;336,856;
250312;0000;350,763;
250312;0100;45,3851;
250312;0200;87,5527;
250312;0300;127,806;
250312;0400;137,603;
250312;0500;134,962;
250312;0600;111,96;
250312;0700;120,764;
250312;0800;145,06;
250312;0900;161,107;
250312;1000;154,871;
250312;1100;153,315;
250312;1200;150,784;
250312;1300;114,709;
250312;1400;178,854;
250312;1500;202,959;
250312;1600;206,016;
250312;1700;187,037;
250312;1800;133,962;
250312;1900;133,82;
250312;2000;320,339;
250312;2100;321,918;
250312;2200;326,928;
250312;2300;345,538;
250313;0000;0;
250313;0100;109,339;
250313;0200;132,119;
250313;0300;144,857;
250313;0400;141,078;
250313;0500;144,302;
250313;0600;137,641;
250313;0700;142,387;
250313;0800;140,58;
250313;0900;138,331;
250313;1000;166,801;
250313;1100;199,443;
250313;1200;286,921;
250313;1300;307,812;
250313;1400;293,675;
250313;1500;289,828;
250313;1600;266,428;
250313;1700;165,722;
250313;1800;117,03;
250313;1900;113,187;
250313;2000;307,677;
250313;2100;318,902;
250313;2200;325,2;
250313;2300;312,338;
250314;0000;308,147;
250314;0100;336,479;
250314;0200;351,217;
250314;0300;359,482;
250314;0400;16,7035;
250314;0500;10,7046;
250314;0600;8,53609;
250314;0700;356,142;
250314;0800;334,105;
250314;0900;323,615;
250314;1000;312,7;
250314;1100;307,329;
250314;1200;301,732;
250314;1300;298,507;
250314;1400;281,466;
250314;1500;303,045;
250314;1600;310,113;
250314;1700;320,524;
250314;1800;325,89;
250314;1900;328,475;
250314;2000;320,071;
250314;2100;341,155;
250314;2200;324,453;
250314;2300;327,445;
250315;0000;252,575;
250315;0100;248,105;
250315;0200;274,997;
250315;0300;83,9391;
250315;0400;121,312;
250315;0500;36,5835;
250315;0600;103,917;
250315;0700;148,103;
250315;0800;149,839;
250315;0900;146,27;
250315;1000;161,136;
250315;1100;168,405;
250315;1200;204,606;
250315;1300;243,425;
250315;1400;288,625;
250315;1500;232,856;
250315;1600;190,97;
250315;1700;239,146;
250315;1800;243,881;
250315;1900;186,554;
250315;2000;90,5564;
250315;2100;124,426;
250315;2200;138,262;
250315;2300;107,134;
250316;0000;171,058;
250316;0100;83,55;
250316;0200;104,271;
250316;0300;89,8362;
250316;0400;109,243;
250316;0500;141,123;
250316;0600;134,884;
250316;0700;139,79;
250316;0800;145,729;
250316;0900;178,059;
250316;1000;196,983;
250316;1100;270,871;
250316;1200;270,496;
250316;1300;288,721;
250316;1400;317,408;
250316;1500;230,71;
250316;1600;209,476;
250316;1700;204,729;
250316;1800;225,178;
250316;1900;124,092;
250316;2000;114,349;
250316;2100;103,496;
250316;2200;84,1831;
250316;2300;49,7017;
250317;0000;80,0406;
250317;0100;131,078;
250317;0200;104,317;
250317;0300;140,048;
250317;0400;107,212;
250317;0500;113,516;
250317;0600;105,965;
250317;0700;109,714;
250317;0800;138,607;
250317;0900;164,557;
250317;1000;128,931;
250317;1100;185,8;
250317;1200;163,524;
250317;1300;193,328;
250317;1400;190,494;
250317;1500;192,933;
250317;1600;193,947;
250317;1700;194,573;
250317;1800;161,334;
250317;1900;125,841;
250317;2000;140,539;
250317;2100;155,154;
250317;2200;129,066;
250317;2300;125,336;
250318;0000;148,273;
250318;0100;158,284;
250318;0200;162,456;
250318;0300;169,589;
250318;0400;153,272;
250318;0500;125,278;
250318;0600;140,601;
250318;0700;132,821;
250318;0800;167,836;
250318;0900;166,232;
250318;1000;177,973;
250318;1100;176,902;
250318;1200;194,552;
250318;1300;204,326;
250318;1400;199,84;
250318;1500;290,11;
250318;1600;183,59;
250318;1700;163,267;
250318;1800;162,127;
250318;1900;98,7162;
250318;2000;99,2708;
250318;2100;310,39;
250318;2200;339,107;
250318;2300;343,695;
250319;0000;358,947;
250319;0100;359,858;
250319;0200;358,859;
250319;0300;0;
250319;0400;128,915;
250319;0500;115,462;
250319;0600;131,421;
250319;0700;118,646;
250319;0800;151,029;
250319;0900;187,362;
250319;1000;184,114;
250319;1100;196,927;
250319;1200;196,254;
250319;1300;234,431;
250319;1400;304,219;
250319;1500;325,121;
250319;1600;313,899;
250319;1700;307,534;
250319;1800;305,226;
250319;1900;313,161;
250319;2000;310,548;
250319;2100;315,792;
250319;2200;346,157;
250319;2300;351,749;
250320;0000;2,02488;
250320;0100;0;
250320;0200;4,62563;
250320;0300;0;
250320;0400;78,6512;
250320;0500;7,13204;
250320;0600;282,849;
250320;0700;122,936;
250320;0800;97,3169;
250320;0900;117,082;
250320;1000;141,039;
250320;1100;155,373;
250320;1200;183,554;
250320;1300;198,773;
250320;1400;212,502;
250320;1500;227,522;
250320;1600;218,49;
250320;1700;213,197;
250320;1800;206,062;
250320;1900;77,6169;
250320;2000;131,64;
250320;2100;121,926;
250320;2200;120,694;
250320;2300;346,13;
250321;0000;277,759;
250321;0100;100,884;
250321;0200;103,898;
250321;0300;107,149;
250321;0400;109,034;
250321;0500;125,078;
250321;0600;119,56;
250321;0700;124,478;
250321;0800;158,956;
250321;0900;220,62;
250321;1000;260,016;
250321;1100;188,637;
250321;1200;182,068;
250321;1300;199,913;
250321;1400;206,706;
250321;1500;206,121;
250321;1600;205,506;
250321;1700;213,462;
250321;1800;204,4;
250321;1900;127,37;
250321;2000;109,93;
250321;2100;103,15;
250321;2200;96,5376;
250321;2300;114,083;
250322;0000;17,9671;
250322;0100;0;
250322;0200;0;
250322;0300;0;
250322;0400;0;
250322;0500;0;
250322;0600;143,293;
250322;0700;123,422;
250322;0800;260,786;
250322;0900;215,741;
250322;1000;197,366;
250322;1100;184,52;
250322;1200;203,913;
250322;1300;192,863;
250322;1400;199,296;
250322;1500;203,419;
250322;1600;200,845;
250322;1700;158,233;
250322;1800;125,94;
250322;1900;114,794;
250322;2000;106,636;
250322;2100;125,39;
250322;2200;172,242;
250322;2300;143,985;
250323;0000;48,6656;
250323;0100;71,0537;
250323;0200;84,9974;
250323;0300;88,2919;
250323;0400;119,691;
250323;0500;155,517;
250323;0600;143,375;
250323;0700;128,65;
250323;0800;150,719;
250323;0900;148,965;
250323;1000;127,612;
250323;1100;115,279;
250323;1200;117,686;
250323;1300;112,119;
250323;1400;138,447;
250323;1500;138,07;
250323;1600;130,891;
250323;1700;119,413;
250323;1800;110,509;
250323;1900;114,346;
250323;2000;121,895;
250323;2100;114,931;
250323;2200;116,057;
250323;2300;132,323;
250324;0000;140,392;
250324;0100;133,335;
250324;0200;143,157;
250324;0300;131,843;
250324;0400;150,336;
250324;0500;150,916;
250324;0600;140,402;
250324;0700;149,937;
250324;0800;163,227;
250324;0900;136,693;
250324;1000;124,512;
250324;1100;121,504;
250324;1200;138,577;
250324;1300;71,3289;
250324;1400;313,807;
250324;1500;335,869;
250324;1600;334,922;
250324;1700;322,45;
250324;1800;319,867;
250324;1900;320,596;
250324;2000;319,769;
250324;2100;314,619;
250324;2200;311,883;
250324;2300;0;
250325;0000;105,949;
250325;0100;109,238;
250325;0200;165,233;
250325;0300;0;
250325;0400;29,097;
250325;0500;0,188748;
250325;0600;0;
250325;0700;320,012;
250325;0800;307,559;
250325;0900;308,885;
250325;1000;312,692;
250325;1100;308,138;
250325;1200;305,187;
250325;1300;301,019;
250325;1400;305,336;
250325;1500;312,713;
250325;1600;314,54;
250325;1700;313,857;
250325;1800;310,802;
250325;1900;311,869;
250325;2000;309,143;
250325;2100;320,475;
250325;2200;314,607;
250325;2300;305,588;
250326;0000;322,121;
250326;0100;330,417;
250326;0200;326,22;
250326;0300;306,519;
250326;0400;337,448;
250326;0500;314,944;
250326;0600;332,947;
250326;0700;335,795;
250326;0800;325,899;
250326;0900;326,376;
250326;1000;308,757;
250326;1100;297,261;
250326;1200;319,7;
250326;1300;306,862;
250326;1400;317,9;
250326;1500;305,564;
250326;1600;278,912;
250326;1700;246,755;
250326;1800;235,471;
250326;1900;136,799;
250326;2000;266,21;
250326;2100;252,935;
250326;2200;5,94815;
250326;2300;275,383;
250327;0000;4,13058;
250327;0100;80,9369;
250327;0200;340,029;
250327;0300;337,115;
250327;0400;349,404;
250327;0500;343,442;
250327;0600;309,258;
250327;0700;7,84326;
250327;0800;307,676;
250327;0900;308,516;
250327;1000;302,266;
250327;1100;314,833;
250327;1200;305,83;
250327;1300;309,198;
250327;1400;313,674;
250327;1500;330,147;
250327;1600;322,354;
250327;1700;315,408;
250327;1800;320,128;
250327;1900;309,083;
250327;2000;314,884;
250327;2100;301,913;
250327;2200;311,559;
250327;2300;310,436;
250328;0000;317,075;
250328;0100;322,665;
250328;0200;0;
250328;0300;249,259;
250328;0400;172,874;
250328;0500;172,786;
250328;0600;169,748;
250328;0700;159,553;
250328;0800;135,698;
250328;0900;172,742;
250328;1000;186,165;
250328;1100;224,074;
250328;1200;283,276;
250328;1300;211,129;
250328;1400;252,983;
250328;1500;238,177;
250328;1600;309,52;
250328;1700;307,648;
250328;1800;313,189;
250328;1900;308,145;
250328;2000;314,021;
250328;2100;315,07;
250328;2200;319,555;
250328;2300;299,927;
250329;0000;310,74;
250329;0100;250,124;
250329;0200;346,407;
250329;0300;339,744;
250329;0400;351,169;
250329;0500;291,377;
250329;0600;328,733;
250329;0700;332,889;
250329;0800;315,787;
250329;0900;306,787;
250329;1000;314,393;
250329;1100;317,709;
250329;1200;321,222;
250329;1300;327,176;
250329;1400;325,129;
250329;1500;327,177;
250329;1600;320,997;
250329;1700;323,331;
250329;1800;298,839;
250329;1900;290,607;
250329;2000;349,19;
250329;2100;345,903;
250329;2200;3,54868;
250329;2300;7,63858;
250330;0000;180,87;
250330;0100;110,438;
250330;0200;100,39;
250330;0300;97,2655;
250330;0400;104,465;
250330;0500;99,0117;
250330;0600;142,749;
250330;0700;110,089;
250330;0800;77,1074;
250330;0900;194,593;
250330;1000;195,202;
250330;1100;203,667;
250330;1200;210,525;
250330;1300;216,803;
250330;1400;216,429;
250330;1500;215,1;
250330;1600;213,737;
250330;1700;217,459;
250330;1800;214,033;
250330;1900;172,788;
250330;2000;154,877;
250330;2100;118,466;
250330;2200;99,1365;
250330;2300;146,111;
250331;0000;137,288;
250331;0100;132,719;
250331;0200;140,6;
250331;0300;145,924;
250331;0400;163,323;
250331;0500;156,827;
250331;0600;173,81;
250331;0700;140,79;
250331;0800;153,185;
250331;0900;172,052;
250331;1000;121,429;
250331;1100;115,629;
250331;1200;115,668;
250331;1300;146,833;
250331;1400;195,142;
250331;1500;205,552;
250331;1600;208,947;
250331;1700;212,434;
250331;1800;210,489;
250331;1900;113,513;
250331;2000;16,6818;
250331;2100;48,7534;
250331;2200;59,0688;
250331;2300;0;
250401;0000;22,024;
250401;0100;45,4359;
250401;0200;100,762;
250401;0300;69,2081;
250401;0400;148,27;
250401;0500;58,4828;
250401;0600;112,684;
250401;0700;125,581;
250401;0800;204,274;
250401;0900;199,296;
250401;1000;195,87;
250401;1100;209,756;
250401;1200;273,638;
250401;1300;288,606;
250401;1400;257,936;
250401;1500;211,798;
250401;1600;210,668;
250401;1700;225,693;
250401;1800;251,965;
250401;1900;80,4218;
250401;2000;166,354;
250401;2100;53,7737;
250401;2200;268,241;
250401;2300;0;
250402;0000;96,5188;
250402;0100;132,895;
250402;0200;101,732;
250402;0300;105,48;
250402;0400;132,174;
250402;0500;130,917;
250402;0600;112,988;
250402;0700;131,652;
250402;0800;132,442;
250402;0900;121,17;
250402;1000;163,853;
250402;1100;228,242;
250402;1200;287,032;
250402;1300;245,074;
250402;1400;268,972;
250402;1500;245,971;
250402;1600;248,856;
250402;1700;250,427;
250402;1800;245,655;
250402;1900;259,078;
250402;2000;241,337;
250402;2100;140,75;
250402;2200;135,15;
250402;2300;136,806;
250403;0000;137,199;
250403;0100;162,775;
250403;0200;148,669;
250403;0300;161,834;
250403;0400;164,221;
250403;0500;173,591;
250403;0600;172,059;
250403;0700;162,283;
250403;0800;174,96;
250403;0900;172,906;
250403;1000;177,217;
250403;1100;162,494;
250403;1200;136,33;
250403;1300;127,213;
250403;1400;118,762;
250403;1500;190,461;
250403;1600;202,566;
250403;1700;160,703;
250403;1800;165,785;
250403;1900;161,084;
250403;2000;119,191;
250403;2100;126,346;
250403;2200;146,975;
250403;2300;172,281;
250404;0000;163,571;
250404;0100;152,889;
250404;0200;158,692;
250404;0300;154,667;
250404;0400;173,081;
250404;0500;158,32;
250404;0600;155,695;
250404;0700;164,615;
250404;0800;158,665;
250404;0900;171,24;
250404;1000;177,144;
250404;1100;179,093;
250404;1200;191,174;
250404;1300;187,706;
250404;1400;271,04;
250404;1500;333,502;
250404;1600;322,288;
250404;1700;324,819;
250404;1800;324,476;
250404;1900;320,914;
250404;2000;316,58;
250404;2100;320,166;
250404;2200;338,318;
250404;2300;337,09;
250405;0000;322,622;
250405;0100;321,55;
250405;0200;327,779;
250405;0300;335,621;
250405;0400;338,18;
250405;0500;339,776;
250405;0600;324,594;
250405;0700;322,508;
250405;0800;314,499;
250405;0900;309,564;
250405;1000;308,018;
250405;1100;301,424;
250405;1200;293,448;
250405;1300;292,627;
250405;1400;315,297;
250405;1500;315,507;
250405;1600;293,49;
250405;1700;311,716;
250405;1800;314,251;
250405;1900;305,897;
250405;2000;310,599;
250405;2100;306,283;
250405;2200;321,455;
250405;2300;357,225;
250406;0000;334,944;
250406;0100;0;
250406;0200;97,7247;
250406;0300;152,954;
250406;0400;128,561;
250406;0500;154,807;
250406;0600;136,132;
250406;0700;116,705;
250406;0800;162,349;
250406;0900;167,665;
250406;1000;181,705;
250406;1100;298,384;
250406;1200;336,596;
250406;1300;327,861;
250406;1400;319,631;
250406;1500;313,797;
250406;1600;300,243;
250406;1700;286,595;
250406;1800;242,177;
250406;1900;263,731;
250406;2000;248,236;
250406;2100;0;
250406;2200;72,8763;
250406;2300;119,755;
250407;0000;145,086;
250407;0100;134,755;
250407;0200;137,266;
250407;0300;139,757;
250407;0400;131,887;
250407;0500;135,311;
250407;0600;130,89;
250407;0700;134,88;
250407;0800;151,935;
250407;0900;166,62;
250407;1000;171,576;
250407;1100;183,729;
250407;1200;166,044;
250407;1300;179,688;
250407;1400;182,587;
250407;1500;187,352;
250407;1600;188,11;
250407;1700;130,142;
250407;1800;140,173;
250407;1900;126,595;
250407;2000;0;
250407;2100;0;
250407;2200;0;
250407;2300;51,6999;
250408;0000;7,90086;
250408;0100;355,467;
250408;0200;73,9366;
250408;0300;322,096;
250408;0400;275,266;
250408;0500;305,105;
250408;0600;132,709;
250408;0700;128,707;
250408;0800;157,23;
250408;0900;248,849;
250408;1000;311,408;
250408;1100;306,482;
250408;1200;322,709;
250408;1300;336,273;
250408;1400;309,689;
250408;1500;245,83;
250408;1600;259,487;
250408;1700;247,723;
250408;1800;249,155;
250408;1900;275,971;
250408;2000;326,927;
250408;2100;14,5604;
250408;2200;30,1125;
250408;2300;35,2974;
250409;0000;90,7708;
250409;0100;127,57;
250409;0200;51,1875;
250409;0300;271,73;
250409;0400;245,745;
250409;0500;0;
250409;0600;85,8704;
250409;0700;358,726;
250409;0800;4,48416e-44;
250409;0900;323,137;
250409;1000;304,846;
250409;1100;311,884;
250409;1200;320,15;
250409;1300;315,214;
250409;1400;322,03;
250409;1500;314,842;
250409;1600;323,218;
250409;1700;321,303;
250409;1800;315,392;
250409;1900;306,51;
250409;2000;312,848;
250409;2100;303,205;
250409;2200;299,839;
250409;2300;311,589;
250410;0000;311,996;
250410;0100;307,551;
250410;0200;323,603;
250410;0300;297,302;
250410;0400;332,582;
250410;0500;346,614;
250410;0600;312,729;
250410;0700;296,382;
250410;0800;329,822;
250410;0900;292,362;
250410;1000;287,91;
250410;1100;267,421;
250410;1200;280,425;
250410;1300;286,38;
250410;1400;270,894;
250410;1500;283,276;
250410;1600;280,522;
250410;1700;268,808;
250410;1800;256,676;
250410;1900;197,435;
250410;2000;258,923;
250410;2100;78,8149;
250410;2200;136,734;
250410;2300;111,721;
250411;0000;59,5605;
250411;0100;105,29;
250411;0200;130,556;
250411;0300;120,159;
250411;0400;129,808;
250411;0500;145,221;
250411;0600;137,028;
250411;0700;149,453;
250411;0800;157,721;
250411;0900;171,959;
250411;1000;199,491;
250411;1100;208,381;
250411;1200;204,442;
250411;1300;236,813;
250411;1400;236,475;
250411;1500;236,55;
250411;1600;253,279;
250411;1700;243,488;
250411;1800;255,451;
250411;1900;244,062;
250411;2000;116,254;
250411;2100;99,5422;
250411;2200;99,8784;
250411;2300;162,119;
250412;0000;152,909;
250412;0100;151,188;
250412;0200;149,865;
250412;0300;150,925;
250412;0400;160,593;
250412;0500;166,806;
250412;0600;167,786;
250412;0700;164,552;
250412;0800;171,419;
250412;0900;163,77;
250412;1000;136,806;
250412;1100;148,034;
250412;1200;120,807;
250412;1300;141,396;
250412;1400;180,569;
250412;1500;201,863;
250412;1600;204,238;
250412;1700;186,972;
250412;1800;125,359;
250412;1900;141,722;
250412;2000;119,958;
250412;2100;91,0406;
250412;2200;101,51;
250412;2300;129,213;
250413;0000;106,784;
250413;0100;138,018;
250413;0200;156,221;
250413;0300;138;
250413;0400;127,349;
250413;0500;160,752;
250413;0600;129,413;
250413;0700;154,445;
250413;0800;137,047;
250413;0900;155,708;
250413;1000;237,994;
250413;1100;303,689;
250413;1200;306,886;
250413;1300;302,736;
250413;1400;309,632;
250413;1500;325,109;
250413;1600;254,028;
250413;1700;317,93;
250413;1800;1,31517;
250413;1900;272,641;
250413;2000;261,696;
250413;2100;42,7567;
250413;2200;294,798;
250413;2300;307,095;
250414;0000;327,29;
250414;0100;318,639;
250414;0200;325,037;
250414;0300;308,412;
250414;0400;316,207;
250414;0500;320,963;
250414;0600;329,889;
250414;0700;306,504;
250414;0800;306,223;
250414;0900;312,564;
250414;1000;318,944;
250414;1100;312,968;
250414;1200;296,504;
250414;1300;322,41;
250414;1400;322,349;
250414;1500;319,482;
250414;1600;316,955;
250414;1700;316,772;
250414;1800;336,209;
250414;1900;337,018;
250414;2000;304,559;
250414;2100;322,426;
250414;2200;313,095;
250414;2300;132,424;
250415;0000;94,0647;
250415;0100;168,929;
250415;0200;119,926;
250415;0300;135,704;
250415;0400;142,886;
250415;0500;124,599;
250415;0600;139,343;
250415;0700;143,129;
250415;0800;147,836;
250415;0900;128,525;
250415;1000;177,656;
250415;1100;187,271;
250415;1200;202,398;
250415;1300;274,272;
250415;1400;257,668;
250415;1500;246,909;
250415;1600;244,492;
250415;1700;243,193;
250415;1800;295,83;
250415;1900;317,778;
250415;2000;313,1;
250415;2100;339,188;
250415;2200;327,264;
250415;2300;349,642;
250416;0000;334,301;
250416;0100;0;
250416;0200;24,5671;
250416;0300;94,0522;
250416;0400;87,9961;
250416;0500;108,967;
250416;0600;122,401;
250416;0700;156,281;
250416;0800;168,515;
250416;0900;200,006;
250416;1000;160,188;
250416;1100;311,694;
250416;1200;276,403;
250416;1300;249,712;
250416;1400;290,037;
250416;1500;295,287;
250416;1600;255,89;
250416;1700;305,666;
250416;1800;54,8297;
250416;1900;113,659;
250416;2000;130,898;
250416;2100;130,828;
250416;2200;248,338;
250416;2300;176,61;
250417;0000;89,7682;
250417;0100;112,234;
250417;0200;123,861;
250417;0300;113,036;
250417;0400;150,977;
250417;0500;136,314;
250417;0600;126,995;
250417;0700;126,243;
250417;0800;138,89;
250417;0900;143,411;
250417;1000;165,504;
250417;1100;169,844;
250417;1200;192,738;
250417;1300;202,757;
250417;1400;202,003;
250417;1500;207,664;
250417;1600;210,939;
250417;1700;178,785;
250417;1800;120,736;
250417;1900;138,071;
250417;2000;135,516;
250417;2100;137,727;
250417;2200;133,066;
250417;2300;133,374;
250418;0000;135,787;
250418;0100;129,692;
250418;0200;125,041;
250418;0300;152,755;
250418;0400;157,444;
250418;0500;137,544;
250418;0600;140,088;
250418;0700;126,209;
250418;0800;147,937;
250418;0900;153,642;
250418;1000;176,921;
250418;1100;185,8;
250418;1200;156,378;
250418;1300;164,844;
250418;1400;200,499;
250418;1500;175,204;
250418;1600;160,129;
250418;1700;177,229;
250418;1800;298,349;
250418;1900;71,5226;
250418;2000;136,31;
250418;2100;128,681;
250418;2200;112,063;
250418;2300;148,141;
250419;0000;143,516;
250419;0100;150,204;
250419;0200;131,764;
250419;0300;160,449;
250419;0400;128,167;
250419;0500;127,047;
250419;0600;134,818;
250419;0700;160,466;
250419;0800;149,505;
250419;0900;152,776;
250419;1000;155,254;
250419;1100;181,5;
250419;1200;195,651;
250419;1300;261,864;
250419;1400;303,464;
250419;1500;308,759;
250419;1600;314,626;
250419;1700;313,359;
250419;1800;305,647;
250419;1900;315,345;
250419;2000;306,04;
250419;2100;345,279;
250419;2200;82,925;
250419;2300;103,363;
250420;0000;100,043;
250420;0100;15,4812;
250420;0200;128,548;
250420;0300;134,475;
250420;0400;357,039;
250420;0500;111,952;
250420;0600;130,498;
250420;0700;125,406;
250420;0800;131,825;
250420;0900;261,545;
250420;1000;232,284;
250420;1100;312,302;
250420;1200;325,827;
250420;1300;329,431;
250420;1400;339,011;
250420;1500;329,083;
250420;1600;337,174;
250420;1700;318,565;
250420;1800;329,876;
250420;1900;345,578;
250420;2000;350,694;
250420;2100;325,355;
250420;2200;339,118;
250420;2300;331,745;
250421;0000;341,876;
250421;0100;349,533;
250421;0200;308,038;
250421;0300;327,535;
250421;0400;314,885;
250421;0500;310,23;
250421;0600;309,254;
250421;0700;324,33;
250421;0800;328,927;
250421;0900;326,174;
250421;1000;304,785;
250421;1100;302,318;
250421;1200;293,699;
250421;1300;298,095;
250421;1400;305,834;
250421;1500;304,079;
250421;1600;305,005;
250421;1700;301,768;
250421;1800;305,514;
250421;1900;301,392;
250421;2000;303,833;
250421;2100;300,209;
250421;2200;302,748;
250421;2300;307,391;
250422;0000;299,184;
250422;0100;303,213;
250422;0200;306,537;
250422;0300;303,424;
250422;0400;300,299;
250422;0500;301,031;
250422;0600;298,596;
250422;0700;300,493;
250422;0800;303,304;
250422;0900;314,138;
250422;1000;320,624;
250422;1100;305,666;
250422;1200;309,2;
250422;1300;323,998;
250422;1400;315,356;
250422;1500;326,564;
250422;1600;333,909;
250422;1700;328,682;
250422;1800;328,343;
250422;1900;324,165;
250422;2000;323,794;
250422;2100;308,717;
250422;2200;298,612;
250422;2300;303,318;
250423;0000;306,697;
250423;0100;0;
250423;0200;77,7947;
250423;0300;123,942;
250423;0400;162,895;
250423;0500;168,01;
250423;0600;153,804;
250423;0700;158,679;
250423;0800;155,698;
250423;0900;160,713;
250423;1000;156,682;
250423;1100;152,857;
250423;1200;129,363;
250423;1300;116,133;
250423;1400;223,411;
250423;1500;253,298;
250423;1600;285,714;
250423;1700;340,944;
250423;1800;330,204;
250423;1900;319,14;
250423;2000;320,68;
250423;2100;316,195;
250423;2200;298,41;
250423;2300;320,084;
250424;0000;309,719;
250424;0100;309,802;
250424;0200;307,495;
250424;0300;308,799;
250424;0400;336,597;
250424;0500;292,552;
250424;0600;0;
250424;0700;347,984;
250424;0800;313,212;
250424;0900;315,372;
250424;1000;331,429;
250424;1100;339,109;
250424;1200;330,492;
250424;1300;326,235;
250424;1400;326,805;
250424;1500;323,996;
250424;1600;333,075;
250424;1700;328,452;
250424;1800;322,852;
250424;1900;340,724;
250424;2000;324,269;
250424;2100;314,365;
250424;2200;310,052;
250424;2300;266,894;
250425;0000;302,725;
250425;0100;292,034;
250425;0200;303,433;
250425;0300;313,488;
250425;0400;304,695;
250425;0500;330,642;
250425;0600;337,007;
250425;0700;331,327;
250425;0800;312,425;
250425;0900;301,509;
250425;1000;292,771;
250425;1100;295,549;
250425;1200;267,183;
250425;1300;262,747;
250425;1400;285,147;
250425;1500;292,436;
250425;1600;272,072;
250425;1700;251,585;
250425;1800;253,095;
250425;1900;253,841;
250425;2000;256,234;
250425;2100;105,932;
250425;2200;109,604;
250425;2300;113,852;
250426;0000;141,974;
250426;0100;164,091;
250426;0200;129,993;
250426;0300;166,711;
250426;0400;144,703;
250426;0500;110,852;
250426;0600;148,043;
250426;0700;121,359;
250426;0800;143,069;
250426;0900;143,283;
250426;1000;159,854;
250426;1100;190,218;
250426;1200;129,155;
250426;1300;141,945;
250426;1400;202,68;
250426;1500;211,503;
250426;1600;211,383;
250426;1700;211,822;
250426;1800;148,83;
250426;1900;127,844;
250426;2000;100,739;
250426;2100;139,27;
250426;2200;348,55;
250426;2300;15,7717;
250427;0000;152,143;
250427;0100;148,891;
250427;0200;135,442;
250427;0300;136,541;
250427;0400;117,665;
250427;0500;133,259;
250427;0600;142,75;
250427;0700;148,4;
250427;0800;159,924;
250427;0900;168,175;
250427;1000;161,794;
250427;1100;137,436;
250427;1200;133,342;
250427;1300;115,396;
250427;1400;121,89;
250427;1500;195,494;
250427;1600;198,798;
250427;1700;154,983;
250427;1800;163,293;
250427;1900;148,703;
250427;2000;144,915;
250427;2100;160,556;
250427;2200;147,249;
250427;2300;142,007;
250428;0000;135,189;
250428;0100;148,225;
250428;0200;102,668;
250428;0300;153,888;
250428;0400;144,544;
250428;0500;151,295;
250428;0600;162,775;
250428;0700;134,513;
250428;0800;120,884;
250428;0900;168,225;
250428;1000;166,707;
250428;1100;174,689;
250428;1200;190,2;
250428;1300;192,214;
250428;1400;190,753;
250428;1500;188,642;
250428;1600;204,437;
250428;1700;236,574;
250428;1800;116,077;
250428;1900;114,149;
250428;2000;82,1616;
250428;2100;106,735;
250428;2200;91,4637;
250428;2300;77,9122;
250429;0000;0;
250429;0100;80,7404;
250429;0200;138,971;
250429;0300;140,651;
250429;0400;99,2017;
250429;0500;86,2023;
250429;0600;101,71;
250429;0700;129,236;
250429;0800;138,999;
250429;0900;127,865;
250429;1000;77,5208;
250429;1100;164,432;
250429;1200;130,823;
250429;1300;134,772;
250429;1400;212,621;
250429;1500;206,561;
250429;1600;203,308;
250429;1700;0;
250429;1800;315,31;
250429;1900;129,13;
250429;2000;101,137;
250429;2100;94,9957;
250429;2200;0;
250429;2300;65,5804;
250430;0000;135,687;
250430;0100;153,671;
250430;0200;110,196;
250430;0300;131,901;
250430;0400;168,465;
250430;0500;148,049;
250430;0600;138,013;
250430;0700;127,484;
250430;0800;143,761;
250430;0900;167,073;
250430;1000;158,936;
250430;1100;309,26;
250430;1200;214,932;
250430;1300;300,947;
250430;1400;305,6;
250430;1500;310,632;
250430;1600;311,771;
250430;1700;312,298;
250430;1800;307,013;
250430;1900;307,87;
250430;2000;313,143;
250430;2100;317,057;
250430;2200;311,537;
250430;2300;309,099;
250501;0000;307,027;
250501;0100;314,064;
250501;0200;327,064;
250501;0300;323,696;
250501;0400;315,114;
250501;0500;310,481;
250501;0600;306,877;
250501;0700;70,2446;
250501;0800;66,4369;
250501;0900;55,1309;
250501;1000;181,535;
250501;1100;222,614;
250501;1200;285,982;
250501;1300;296,358;
250501;1400;274,686;
250501;1500;300,312;
250501;1600;315,5;
250501;1700;260,755;
250501;1800;76,5583;
250501;1900;281,637;
250501;2000;125,493;
250501;2100;96,4081;
250501;2200;98,4197;
250501;2300;139,652;
250502;0000;139,66;
250502;0100;163,772;
250502;0200;136,144;
250502;0300;126,48;
250502;0400;135,846;
250502;0500;144,824;
250502;0600;142,089;
250502;0700;138,363;
250502;0800;138,231;
250502;0900;144,911;
250502;1000;157,697;
250502;1100;162,969;
250502;1200;183,274;
250502;1300;196,56;
250502;1400;196,488;
250502;1500;202,493;
250502;1600;211,943;
